msaname15,grp,year,aian,api,black,hisp,white
"Akron, OH Metro Area",High,2010,13.91752577319588,18.10958904109589,4.219409282700422,16.7258883248731,20.31787309028075
"Akron, OH Metro Area",High,2015,0,17.19404374127501,5.631720430107527,20.26143790849673,24.84827450355042
"Akron, OH Metro Area",Low,2010,7.731958762886598,10.52054794520548,17.47921627605799,24.67005076142132,25.77800208721835
"Akron, OH Metro Area",Low,2015,16.7381974248927,16.24011167985109,17.45071684587814,19.41176470588236,19.9827403453807
"Akron, OH Metro Area",Moderate,2010,12.88659793814433,10.43835616438356,4.394869866733509,16.09137055837563,20.62924500863971
"Akron, OH Metro Area",Moderate,2015,51.50214592274678,6.398324802233597,6.003584229390681,20.34858387799564,23.45905991163807
"Akron, OH Metro Area",Very High,2010,7.216494845360824,27.61643835616439,7.548982746375904,14.28934010152284,22.6942225111632
"Akron, OH Metro Area",Very High,2015,0,34.36482084690554,7.934587813620071,22.15686274509804,21.93664581125067
"Akron, OH Metro Area",Very Low,2010,58.24742268041238,33.31506849315068,66.35752182813218,28.22335025380711,10.58065730269799
"Akron, OH Metro Area",Very Low,2015,31.75965665236051,25.80269892973476,62.97939068100359,17.82135076252723,9.773279428180139
"Albany-Schenectady-Troy, NY Metro Area",High,2010,5.339805825242718,16.84022612317763,3.757797048531872,6.831474693909382,18.69855985795062
"Albany-Schenectady-Troy, NY Metro Area",High,2015,13.10679611650485,22.5834894742643,5.981433098004336,13.39786756453423,22.15186335651716
"Albany-Schenectady-Troy, NY Metro Area",Low,2010,9.708737864077669,16.28979470395716,13.91044170596886,17.14107463152149,26.36427807330971
"Albany-Schenectady-Troy, NY Metro Area",Low,2015,4.854368932038835,15.18792020279952,13.59163933514926,15.39001122334456,20.64584647571288
"Albany-Schenectady-Troy, NY Metro Area",Moderate,2010,7.281553398058252,12.25825647128831,6.450631370759166,15.50339234188568,27.12837567404324
"Albany-Schenectady-Troy, NY Metro Area",Moderate,2015,34.46601941747573,17.34817590653588,6.737450664294848,17.05948372615039,23.4047480256486
"Albany-Schenectady-Troy, NY Metro Area",Very High,2010,7.038834951456311,30.76465337697114,3.443379481718139,10.39538329564065,19.19777029042986
"Albany-Schenectady-Troy, NY Metro Area",Very High,2015,6.310679611650485,27.04728314780117,4.897437322808383,8.214085297418631,24.25517643395006
"Albany-Schenectady-Troy, NY Metro Area",Very Low,2010,70.63106796116504,23.84706932460577,72.43775039302196,50.12867503704281,8.611016104266575
"Albany-Schenectady-Troy, NY Metro Area",Very Low,2015,41.2621359223301,17.83313126859914,68.79203957974318,45.93855218855219,9.5423657081713
"Albuquerque, NM Metro Area",High,2010,15.00276931597895,22.24830464267084,34.87240005900576,19.09891882668652,28.01059690371719
"Albuquerque, NM Metro Area",High,2015,16.54196707930894,38.57038302024884,26.3176024801929,17.09328671219022,27.26767863754165
"Albuquerque, NM Metro Area",Low,2010,21.01910828025478,5.320813771517996,10.50302404484437,25.34785238959468,11.5373789220962
"Albuquerque, NM Metro Area",Low,2015,17.88872262277241,9.416930958770433,19.94488460213572,25.50077222801502,10.96445760829323
"Albuquerque, NM Metro Area",Moderate,2010,15.65355857103295,24.62180490349505,23.21876382947337,22.63948997161338,18.41874327344979
"Albuquerque, NM Metro Area",Moderate,2015,11.82152088151272,13.80824591363747,14.31277988287978,20.21591024907293,19.59644576082932
"Albuquerque, NM Metro Area",Very High,2010,8.197175297701467,37.71517996870109,17.48045434429857,14.91693424542789,33.93989568672903
"Albuquerque, NM Metro Area",Very High,2015,10.31832403754591,35.74042449377897,17.12022046159146,14.69585192037819,34.88893002591632
